#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.025 0.05175 1.87056e-05 2.65e-05 0.225806
0.0235294 0.0518529 1.85019e-05 2.65e-05 0.206897
0.0220588 0.0519559 1.84538e-05 2.65e-05 0.153846
0.0205882 0.0520588 1.83665e-05 2.65e-05 0.148148
0.0191176 0.0521618 1.81359e-05 2.65e-05 0.107143
0.0176471 0.0522647 1.7814e-05 2.65e-05 0.103448
0.0161765 0.0523676 1.75917e-05 2.65e-05 0.0740741
0.0147059 0.0524706 1.74484e-05 2.65e-05 0.04
0.0132353 0.0525735 1.76108e-05 2.65e-05 0
0.0117647 0.0526765 1.76585e-05 2.65e-05 0
0.0102941 0.0527794 1.74404e-05 2.65e-05 0
0.00882353 0.0528824 1.7141e-05 2.65e-05 0
0.00735294 0.0529853 1.6984e-05 2.65e-05 0
0.00588235 0.0530882 1.69539e-05 2.65e-05 0
0.00441176 0.0531912 1.70681e-05 2.65e-05 0.0416667
0.00294118 0.0532941 1.70435e-05 2.65e-05 0.047619
0.00147059 0.0533971 1.68692e-05 2.65e-05 0.0526316
0 0.055 1.68355e-05 2.65e-05 0.0588235
0 0.0565 1.67573e-05 2.6488e-05 0
0 0.058 1.67185e-05 2.64819e-05 0
0 0.0595 1.67318e-05 2.6476e-05 0
0 0.061 1.6759e-05 2.64708e-05 0
0 0.0625 1.69041e-05 2.64661e-05 0
0 0.064 1.71139e-05 2.64618e-05 0
0 0.0655 1.73117e-05 2.64576e-05 0
0 0.067 1.74618e-05 2.64537e-05 0
0 0.0685 1.75096e-05 2.64494e-05 0
0 0.07 1.76213e-05 2.64453e-05 0
0 0.0715 1.7776e-05 2.64411e-05 0
0 0.073 1.79295e-05 2.64381e-05 0
0 0.0745 1.8133e-05 2.64349e-05 0
0 0.076 1.83491e-05 2.64324e-05 0
0 0.0775 1.84464e-05 2.64301e-05 0
0 0.079 1.85342e-05 2.6428e-05 0
0 0.0805 1.86822e-05 2.6426e-05 0
0 0.082 1.88466e-05 2.64242e-05 0
0 0.0835 1.90425e-05 2.64228e-05 0
0 0.085 1.91442e-05 2.6422e-05 0
0 0.0865 1.92448e-05 2.64218e-05 0
0 0.088 1.94949e-05 2.6422e-05 0
0 0.0895 1.98044e-05 2.64229e-05 0
0 0.091 1.99655e-05 2.64243e-05 0
0 0.0925 2.00477e-05 2.64264e-05 0
0 0.094 2.00153e-05 2.64295e-05 0
0 0.0955 1.99555e-05 2.64348e-05 0
0 0.097 1.98628e-05 2.64405e-05 0
0 0.0985 2.03906e-05 2.64477e-05 0.0555556
0.115637 0.0986984 2.00846e-05 2.58942e-05 0
0.149905 0.0986283 1.953e-05 2.55946e-05 0
0.132072 0.00130647 -1.96999e-05 2.56142e-05 0
0.103822 0.0988008 2.0305e-05 2.5986e-05 0
0.138137 0.0987657 1.96283e-05 2.56913e-05 0
0.143967 0.00123646 -1.99329e-05 2.5468e-05 0
0.109716 0.00121269 -2.00704e-05 2.58585e-05 0
0.198754 0.0500886 -2.23845e-05 2.65e-05 0.433333
0.0977239 0.00135687 -1.97018e-05 2.59754e-05 0
0.155973 0.00125716 -1.9936e-05 2.53336e-05 0
0.125973 0.0984181 1.98186e-05 2.58104e-05 0
0.121646 0.00120695 -1.9793e-05 2.57372e-05 0
0.0933887 0.0986538 2.01028e-05 2.60647e-05 0
0.160648 0.0987083 1.87193e-05 2.55074e-05 0.0666667
0.0873062 0.00118605 -2.01183e-05 2.60637e-05 0
0.198535 0.0396045 -2.15679e-05 2.6008e-05 0
0.198504 0.0604324 5.16531e-06 2.62365e-05 0
0.0828011 0.098752 1.99509e-05 2.61301e-05 0
